"filename", "language", "JavaScript", "JSON with Comments", "HTML", "TypeScript", "JSON", "Markdown", "Vue", "SCSS", "XML", "comment", "blank", "total"
"e:\java-projects\smart-community\community-admin\src\layout\components\Settings\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 344, 0, 0, 1, 31, 376
"e:\java-projects\smart-community\community-admin\src\layout\components\Tabs\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 211, 0, 0, 0, 16, 227
"e:\java-projects\smart-community\community-admin\src\layout\components\Theme\Columns.vue", "Vue", 0, 0, 0, 0, 0, 0, 246, 0, 0, 0, 17, 263
"e:\java-projects\smart-community\community-admin\src\layout\components\Theme\Transverse.vue", "Vue", 0, 0, 0, 0, 0, 0, 78, 0, 0, 0, 7, 85
"e:\java-projects\smart-community\community-admin\src\layout\components\Theme\Vertical.vue", "Vue", 0, 0, 0, 0, 0, 0, 83, 0, 0, 0, 8, 91
"e:\java-projects\smart-community\community-admin\src\layout\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 4, 22
"e:\java-projects\smart-community\community-admin\src\main.ts", "TypeScript", 0, 0, 0, 43, 0, 0, 0, 0, 0, 3, 15, 61
"e:\java-projects\smart-community\community-admin\src\router\index.ts", "TypeScript", 0, 0, 0, 222, 0, 0, 0, 0, 0, 22, 30, 274
"e:\java-projects\smart-community\community-admin\src\store\index.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 4, 16
"e:\java-projects\smart-community\community-admin\src\store\modules\app.ts", "TypeScript", 0, 0, 0, 29, 0, 0, 0, 0, 0, 3, 2, 34
"e:\java-projects\smart-community\community-admin\src\store\modules\router.ts", "TypeScript", 0, 0, 0, 23, 0, 0, 0, 0, 0, 1, 5, 29
"e:\java-projects\smart-community\community-admin\src\store\modules\tabs.ts", "TypeScript", 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 5, 66
"e:\java-projects\smart-community\community-admin\src\store\modules\user.ts", "TypeScript", 0, 0, 0, 46, 0, 0, 0, 0, 0, 9, 2, 57
"e:\java-projects\smart-community\community-admin\src\store\theme\config.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 2, 15
"e:\java-projects\smart-community\community-admin\src\store\theme\interface.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 10, 1, 23
"e:\java-projects\smart-community\community-admin\src\styles\dark.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 53, 0, 1, 11, 65
"e:\java-projects\smart-community\community-admin\src\styles\element.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 78, 0, 2, 15, 95
"e:\java-projects\smart-community\community-admin\src\styles\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"e:\java-projects\smart-community\community-admin\src\styles\layout.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 76, 0, 1, 5, 82
"e:\java-projects\smart-community\community-admin\src\styles\theme.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 34, 0, 2, 3, 39
"e:\java-projects\smart-community\community-admin\src\styles\variables.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 4, 18
"e:\java-projects\smart-community\community-admin\src\types\shims.d.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"e:\java-projects\smart-community\community-admin\src\utils\cache\index.ts", "TypeScript", 0, 0, 0, 28, 0, 0, 0, 0, 0, 1, 9, 38
"e:\java-projects\smart-community\community-admin\src\utils\cache\key.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"e:\java-projects\smart-community\community-admin\src\utils\constant.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 11, 9, 35
"e:\java-projects\smart-community\community-admin\src\utils\directive\auth.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 1, 2, 14
"e:\java-projects\smart-community\community-admin\src\utils\directive\index.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 2, 8
"e:\java-projects\smart-community\community-admin\src\utils\emits.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 4
"e:\java-projects\smart-community\community-admin\src\utils\request.ts", "TypeScript", 0, 0, 0, 49, 0, 0, 0, 0, 0, 8, 12, 69
"e:\java-projects\smart-community\community-admin\src\utils\storage.ts", "TypeScript", 0, 0, 0, 36, 0, 0, 0, 0, 0, 14, 2, 52
"e:\java-projects\smart-community\community-admin\src\utils\tabs.ts", "TypeScript", 0, 0, 0, 28, 0, 0, 0, 0, 0, 4, 6, 38
"e:\java-projects\smart-community\community-admin\src\utils\theme.ts", "TypeScript", 0, 0, 0, 41, 0, 0, 0, 0, 0, 5, 6, 52
